date,agent,session_count,total_cost_usd,avg_cost_per_session,total_input_tokens,total_cache_creation_tokens,total_cache_read_tokens,total_output_tokens,error_count
2026-02-23,beth,6,5.1459,0.8576,348,326308,6684996,30851,0
2026-02-23,debater,5,4.1152,0.823,257,264720,4812930,27937,0
2026-02-23,max,6,4.9083,0.818,1294,277598,4927260,26038,0
2026-02-23,susan,9,6.3433,0.7048,500,373204,6626139,61228,1
2026-02-23,ALL,26,20.5127,0.7889,2399,1241830,23051325,146054,1
2026-02-24,beth,7,5.3867,0.7695,483,367591,6741828,23303,0
2026-02-24,debater,7,4.9693,0.7099,542,377337,6316471,24619,0
2026-02-24,max,7,5.0769,0.7253,2125,350197,5502844,19504,0
2026-02-24,susan,7,6.2824,0.8975,1482,371375,7556662,50506,0
2026-02-24,ALL,28,21.7153,0.7755,4632,1466500,26117805,117932,0
2026-02-25,beth,5,4.1088,0.8218,365,282575,5037646,17558,0
2026-02-25,debater,5,3.6624,0.7325,421,256262,5127278,22725,0
2026-02-25,max,5,3.6418,0.7284,1193,243018,4175570,15084,0
2026-02-25,susan,5,4.1747,0.8349,2283,234718,4802730,28581,0
2026-02-25,ALL,20,15.5877,0.7794,4262,1016573,19143224,83948,0
2026-02-26,beth,9,5.8068,0.6452,1373,353444,7275893,27539,2
2026-02-26,debater,7,5.7721,0.8246,526,409224,7597509,37244,0
2026-02-26,max,10,4.902,0.4902,338,343001,4323716,21798,3
2026-02-26,susan,8,5.3386,0.6673,1742,341859,5134220,42333,1
2026-02-26,ALL,34,21.8195,0.6418,3979,1447528,24331338,128914,6
2026-02-27,beth,8,5.3213,0.6652,493,393965,6312169,23541,0
2026-02-27,debater,8,5.6836,0.7104,490,429143,6931301,24817,0
2026-02-27,max,8,5.477,0.6846,3153,351818,5541899,22965,0
2026-02-27,susan,8,6.3057,0.7882,553,419290,7454488,48665,0
2026-02-27,ALL,32,22.7876,0.7121,4689,1594216,26239857,119988,0
2026-02-28,beth,8,5.4835,0.6854,1347,373604,5913784,23755,0
2026-02-28,debater,8,5.246,0.6557,470,449064,5688287,23823,0
2026-02-28,max,8,6.1574,0.7697,385,376987,6041546,23118,0
2026-02-28,susan,8,7.3492,0.9187,949,452292,8629545,62568,0
2026-02-28,ALL,32,24.2361,0.7574,3151,1651947,26273162,133264,0
2026-03-01,beth,7,4.3548,0.6221,388,308146,4627130,17706,0
2026-03-01,debater,8,5.1366,0.6421,477,429534,5707765,22554,0
2026-03-01,max,8,6.1426,0.7678,2601,411579,5971625,23197,0
2026-03-01,susan,8,6.8954,0.8619,1488,450332,8046572,54621,0
2026-03-01,ALL,31,22.5294,0.7268,4954,1599591,24353092,118078,0
2026-03-02,beth,6,4.0984,0.6831,1278,324735,4414601,20060,0
2026-03-02,debater,8,5.9364,0.742,573,466320,7033971,33519,0
2026-03-02,gerald,4,1.4,0.35,1005,209175,2123800,16436,0
2026-03-02,max,6,5.007,0.8345,368,351576,5142467,18434,0
2026-03-02,susan,6,4.4007,0.7335,3049,305293,4368894,29178,0
2026-03-02,ALL,30,20.8425,0.6948,6273,1657099,23083733,117627,0
2026-03-03,beth,6,4.5572,0.7595,417,337503,5047558,20407,0
2026-03-03,debater,8,5.758,0.7198,603,496988,6022152,28990,0
2026-03-03,gerald,6,2.3649,0.3941,1279,308527,3334303,18401,0
2026-03-03,max,5,3.7634,0.7527,1180,284322,3804649,16899,0
2026-03-03,susan,6,5.2103,0.8684,361,317562,5920014,38280,0
2026-03-03,ALL,31,21.6538,0.6985,3840,1744902,24128676,122977,0
2026-03-04,beth,3,2.5606,0.8535,1220,183182,2090255,9590,0
2026-03-04,debater,7,5.5055,0.7865,2493,447945,4965119,24378,0
2026-03-04,gerald,2,0.8321,0.416,115,105560,1176323,6102,0
2026-03-04,max,3,2.6832,0.8944,3138,173127,2105477,9225,0
2026-03-04,susan,3,2.8081,0.936,1928,169644,3045182,22055,0
2026-03-04,ALL,18,14.3895,0.7994,8894,1079458,13382356,71350,0
2026-03-05,beth,3,1.9916,0.6639,180,173925,2242499,10240,0
2026-03-05,debater,8,5.4835,0.6854,1616,437855,5680206,30899,0
2026-03-05,gerald,3,0.9172,0.3057,111,159027,1138820,6224,0
2026-03-05,max,3,2.2557,0.7519,181,171117,1902124,8347,0
2026-03-05,susan,3,2.1723,0.7241,2216,180390,1699883,13130,0
2026-03-05,ALL,20,12.8203,0.641,4304,1122314,12663532,68840,0
2026-03-06,beth,3,2.3981,0.7994,203,198966,2010053,11155,0
2026-03-06,debater,8,5.3301,0.6663,1059,473943,5181502,20859,0
2026-03-06,gerald,3,0.7968,0.2656,106,135377,1180016,6247,0
2026-03-06,max,3,2.4635,0.8212,2990,186105,1886853,9342,0
2026-03-06,susan,3,2.609,0.8697,195,213661,3208009,16869,0
2026-03-06,ALL,20,13.5975,0.6799,4553,1208052,13466433,64472,0
2026-03-07,beth,3,1.8664,0.6221,1085,160090,1430742,7899,0
2026-03-07,debater,8,4.8422,0.6053,461,461528,4358917,19675,0
2026-03-07,gerald,3,0.6957,0.2319,81,120893,474006,4209,0
2026-03-07,max,6,2.6199,0.4366,2401,198672,1932884,14034,2
2026-03-07,susan,4,2.9265,0.7316,164,242119,3063870,13228,1
2026-03-07,ALL,24,12.9507,0.5396,4192,1183302,11260419,59045,3
2026-03-08,beth,2,1.3971,0.6985,121,111146,1306968,6794,0
2026-03-08,debater,8,6.0334,0.7542,1677,510138,6392273,27737,0
2026-03-08,gerald,3,0.8514,0.2838,98,152256,1315611,8455,0
2026-03-08,max,3,2.4804,0.8268,1106,185480,2079758,9051,0
2026-03-08,private_aye,6,3.716,0.6193,317,140573,3778112,29042,2
2026-03-08,susan,2,1.7812,0.8906,871,149461,1735351,7643,0
2026-03-08,ALL,24,16.2595,0.6775,4190,1249054,16608073,88722,2
2026-03-09,beth,3,2.201,0.7337,165,152776,2482843,11109,0
2026-03-09,debater,8,6.0791,0.7599,535,473275,6339097,28585,0
2026-03-09,gerald,2,0.6998,0.3499,135,97790,950570,6113,0
2026-03-09,max,2,1.4374,0.7187,95,112637,1131581,5318,0
2026-03-09,private_aye,2,1.1218,0.5609,40,61251,1770005,6014,1
2026-03-09,susan,3,2.706,0.902,214,172671,3157973,15857,0
2026-03-09,ALL,20,14.2451,0.7123,1184,1070400,15832069,72996,1
2026-03-10,beth,2,1.6791,0.8396,128,133708,1948457,7683,0
2026-03-10,debater,7,4.3968,0.6281,357,374994,3465781,17492,0
2026-03-10,gerald,3,0.8725,0.2908,76,112411,546537,3541,0
2026-03-10,max,2,1.6921,0.8461,1008,109393,1082473,5266,0
2026-03-10,private_aye,2,1.4104,0.7052,146,91351,1386274,6814,0
2026-03-10,susan,2,1.5584,0.7792,2059,114149,1173366,6455,0
2026-03-10,ALL,18,11.6093,0.645,3774,936006,9602888,47251,0
2026-03-11,beth,1,0.8016,0.8016,83,63817,921580,3721,0
2026-03-11,debater,2,1.438,0.719,1750,102776,990891,5174,0
2026-03-11,max,1,0.4158,0.4158,41,32028,262059,1770,0
2026-03-11,private_aye,1,0.0,0.0,0,0,0,0,1
2026-03-11,susan,1,0.5802,0.5802,38,40109,365855,2221,0
2026-03-11,ALL,6,3.2356,0.5393,1912,238730,2540385,12886,1
2026-03-12,beth,2,1.2183,0.6092,116,82847,857835,5516,0
2026-03-12,debater,8,6.1575,0.7697,4908,446844,5714359,26266,0
2026-03-12,gerald,3,0.8147,0.2716,105,107230,680604,4677,0
2026-03-12,max,2,1.2185,0.6092,104,87746,1020999,5599,0
2026-03-12,private_aye,3,1.7346,0.5782,214,117734,1712528,9120,0
2026-03-12,susan,2,1.4511,0.7255,2061,85249,712946,5967,0
2026-03-12,ALL,20,12.5947,0.6297,7508,927650,10699271,57145,0
2026-03-13,beth,3,1.7806,0.5935,173,140180,1572690,9484,0
2026-03-13,debater,8,4.0396,0.505,393,332870,2706958,15746,0
2026-03-13,gerald,2,0.5535,0.2767,42,77847,188759,1613,0
2026-03-13,max,3,2.8472,0.9491,3096,167431,2335209,12754,0
2026-03-13,private_aye,2,1.7312,0.8656,106,76061,2614076,11941,0
2026-03-13,susan,2,1.5329,0.7664,2240,97459,1306526,7635,0
2026-03-13,ALL,20,12.485,0.6242,6050,891848,10724218,59173,0
2026-03-14,beth,2,1.3695,0.6848,130,110575,1390114,6257,0
2026-03-14,debater,8,5.0292,0.6287,3178,377085,3721661,21689,0
2026-03-14,gerald,3,0.9768,0.3256,1134,125715,994289,6068,0
2026-03-14,max,2,1.3672,0.6836,2170,90897,745149,4840,0
2026-03-14,private_aye,2,1.562,0.781,122,81726,1804709,8425,0
2026-03-14,susan,3,2.0119,0.6706,186,158266,2066818,11155,0
2026-03-14,ALL,20,12.3166,0.6158,6920,944264,10722740,58434,0
2026-03-15,beth,2,1.2643,0.6322,999,85901,1002037,5037,0
2026-03-15,debater,8,4.5586,0.5698,404,349227,3520807,18140,0
2026-03-15,gerald,2,0.6807,0.3403,76,92192,699863,4256,0
2026-03-15,max,3,2.0558,0.6853,3119,146388,1133028,6726,0
2026-03-15,private_aye,3,1.4865,0.4955,143,93110,1010279,7504,0
2026-03-15,susan,2,1.5192,0.7596,1154,65982,1018163,5917,0
2026-03-15,ALL,20,11.5651,0.5783,5895,832800,8384177,47580,0
2026-03-16,beth,3,1.7542,0.5847,150,139068,1595712,8108,0
2026-03-16,debater,8,3.8389,0.4799,375,314460,2387881,15461,0
2026-03-16,gerald,2,0.6349,0.3174,67,91743,445278,3482,0
2026-03-16,max,2,1.2497,0.6249,1047,97826,817597,4400,0
2026-03-16,private_aye,2,1.5309,0.7654,103,94590,1887837,9474,0
2026-03-16,susan,3,2.0186,0.6729,2182,128026,1245095,7289,0
2026-03-16,ALL,20,11.0272,0.5514,3924,865713,8379400,48214,0
2026-03-17,beth,2,1.295,0.6475,111,88539,1002338,5785,0
2026-03-17,debater,8,4.6118,0.5765,3465,331275,3609170,20116,0
2026-03-17,gerald,3,0.7605,0.2535,66,113437,313804,2630,0
2026-03-17,max,2,1.1927,0.5963,1081,81262,541413,3480,0
2026-03-17,private_aye,3,2.3337,0.7779,185,134371,3021073,13746,0
2026-03-17,susan,2,1.4966,0.7483,3900,78045,796518,6695,0
2026-03-17,ALL,20,11.6903,0.5845,8808,826929,9284316,52452,0
2026-03-18,beth,3,1.6057,0.5352,136,125204,1345137,7114,0
2026-03-18,debater,8,5.0726,0.6341,2414,394367,4187697,21849,0
2026-03-18,gerald,2,0.5691,0.2846,1126,54792,445642,3103,0
2026-03-18,max,3,2.0842,0.6947,3192,147675,1211455,6509,0
2026-03-18,private_aye,2,1.1638,0.5819,178,57218,1336368,6772,0
2026-03-18,susan,2,1.5515,0.7757,113,96024,1452258,6918,0
2026-03-18,ALL,20,12.0469,0.6023,7159,875280,9978557,52265,0
2026-03-19,beth,1,0.6227,0.6227,60,53769,561412,2729,0
2026-03-19,debater,5,3.7025,0.7405,3538,195212,2653688,15950,0
