timestamp,agent,session_file,total_cost_usd,input_tokens,cache_creation_tokens,cache_read_tokens,output_tokens,is_error,models_used,model_costs_json
2026-02-27T01:00:02,max,session_20260227_010002.jsonl,0.5850641000000001,46,39727,586757,2254,False,claude-sonnet-4-5-20250929;claude-haiku-4-5-20251001;claude-opus-4-5-20251101,"{""claude-sonnet-4-5-20250929"":{""cost"":0.43125595,""in"":56,""out"":2837,""cache_read"":589014,""cache_create"":53821},""claude-haiku-4-5-20251001"":{""cost"":0.0550549,""in"":43249,""out"":770,""cache_read"":11134,""cache_create"":5474},""claude-opus-4-5-20251101"":{""cost"":0.09875324999999999,""in"":6,""out"":219,""cache_read"":11134,""cache_create"":14029}}"
2026-02-27T04:00:02,max,session_20260227_040002.jsonl,0.73882995,953,43040,693872,2726,False,claude-sonnet-4-5-20250929;claude-haiku-4-5-20251001;claude-opus-4-5-20251101,"{""claude-sonnet-4-5-20250929"":{""cost"":0.5696798,""in"":973,""out"":3815,""cache_read"":698386,""cache_create"":74672},""claude-haiku-4-5-20251001"":{""cost"":0.0639219,""in"":50766,""out"":1040,""cache_read"":11134,""cache_create"":5474},""claude-opus-4-5-20251101"":{""cost"":0.10522824999999998,""in"":6,""out"":478,""cache_read"":11134,""cache_create"":14029}}"
2026-02-27T07:00:02,max,session_20260227_070002.jsonl,0.6609306499999998,58,52849,707118,2639,False,claude-sonnet-4-5-20250929;claude-haiku-4-5-20251001;claude-opus-4-5-20251101,"{""claude-sonnet-4-5-20250929"":{""cost"":0.53238115,""in"":68,""out"":3409,""cache_read"":709378,""cache_create"":68861},""claude-haiku-4-5-20251001"":{""cost"":0.069072,""in"":65452,""out"":724,""cache_read"":0,""cache_create"":0},""claude-opus-4-5-20251101"":{""cost"":0.05947749999999999,""in"":3,""out"":269,""cache_read"":0,""cache_create"":8438}}"
2026-02-27T10:00:02,max,session_20260227_100002.jsonl,0.7432928999999998,880,52452,656256,2173,False,claude-haiku-4-5-20251001;claude-opus-4-5-20251101;claude-sonnet-4-5-20250929,"{""claude-haiku-4-5-20251001"":{""cost"":0.0692759,""in"":57210,""out"":822,""cache_read"":11134,""cache_create"":5474},""claude-opus-4-5-20251101"":{""cost"":0.10217825,""in"":6,""out"":356,""cache_read"":11134,""cache_create"":14029},""claude-sonnet-4-5-20250929"":{""cost"":0.57183875,""in"":900,""out"":3384,""cache_read"":660775,""cache_create"":80039}}"
2026-02-27T13:00:02,max,session_20260227_130002.jsonl,0.6864058499999998,45,37306,858255,3292,False,claude-opus-4-5-20251101;claude-sonnet-4-5-20250929;claude-haiku-4-5-20251001,"{""claude-opus-4-5-20251101"":{""cost"":0.10115325,""in"":6,""out"":315,""cache_read"":11134,""cache_create"":14029},""claude-sonnet-4-5-20250929"":{""cost"":0.5226516999999999,""in"":55,""out"":4000,""cache_read"":860514,""cache_create"":51822},""claude-haiku-4-5-20251001"":{""cost"":0.06260090000000001,""in"":48225,""out"":1284,""cache_read"":11134,""cache_create"":5474}}"
2026-02-27T16:00:01,max,session_20260227_160001.jsonl,0.5383773499999999,57,35797,409187,2265,False,claude-opus-4-5-20251101;claude-sonnet-4-5-20250929;claude-haiku-4-5-20251001,"{""claude-opus-4-5-20251101"":{""cost"":0.10422825,""in"":6,""out"":438,""cache_read"":11134,""cache_create"":14029},""claude-sonnet-4-5-20250929"":{""cost"":0.3792922,""in"":67,""out"":3178,""cache_read"":411454,""cache_create"":52796},""claude-haiku-4-5-20251001"":{""cost"":0.05485689999999999,""in"":42001,""out"":980,""cache_read"":11134,""cache_create"":5474}}"
2026-02-27T19:00:02,max,session_20260227_190002.jsonl,0.7043058000000001,69,50553,938323,3187,False,claude-opus-4-5-20251101;claude-haiku-4-5-20251001;claude-sonnet-4-5-20250929,"{""claude-opus-4-5-20251101"":{""cost"":0.10167824999999998,""in"":6,""out"":336,""cache_read"":11134,""cache_create"":14029},""claude-haiku-4-5-20251001"":{""cost"":0.08354489999999998,""in"":70034,""out"":1111,""cache_read"":11134,""cache_create"":5474},""claude-sonnet-4-5-20250929"":{""cost"":0.51908265,""in"":69,""out"":3187,""cache_read"":938323,""cache_create"":50553}}"
2026-02-27T22:00:02,max,session_20260227_220002.jsonl,0.8197906499999998,1045,40094,692131,4429,False,claude-opus-4-5-20251101;claude-haiku-4-5-20251001;claude-sonnet-4-5-20250929,"{""claude-opus-4-5-20251101"":{""cost"":0.10000324999999999,""in"":6,""out"":269,""cache_read"":11134,""cache_create"":14029},""claude-haiku-4-5-20251001"":{""cost"":0.0768769,""in"":63191,""out"":1146,""cache_read"":11134,""cache_create"":5474},""claude-sonnet-4-5-20250929"":{""cost"":0.6429105,""in"":1075,""out"":6336,""cache_read"":704660,""cache_create"":80866}}"
2026-02-27T02:00:02,beth,session_20260227_020002.jsonl,0.6186324999999999,61,41763,616405,2597,False,claude-opus-4-5-20251101;claude-haiku-4-5-20251001;claude-sonnet-4-5-20250929,"{""claude-opus-4-5-20251101"":{""cost"":0.10329075,""in"":6,""out"":326,""cache_read"":11134,""cache_create"":14327},""claude-haiku-4-5-20251001"":{""cost"":0.06154515000000001,""in"":47043,""out"":1272,""cache_read"":11134,""cache_create"":5623},""claude-sonnet-4-5-20250929"":{""cost"":0.45379659999999994,""in"":71,""out"":3421,""cache_read"":618662,""cache_create"":55112}}"
2026-02-27T05:00:02,beth,session_20260227_050002.jsonl,0.6579238500000001,53,54106,966944,2829,False,claude-haiku-4-5-20251001;claude-opus-4-5-20251101;claude-sonnet-4-5-20250929,"{""claude-haiku-4-5-20251001"":{""cost"":0.07619215000000001,""in"":63105,""out"":989,""cache_read"":11134,""cache_create"":5623},""claude-opus-4-5-20251101"":{""cost"":0.046157000000000004,""in"":3,""out"":188,""cache_read"":11134,""cache_create"":5740},""claude-sonnet-4-5-20250929"":{""cost"":0.5355747,""in"":53,""out"":2829,""cache_read"":966944,""cache_create"":54106}}"
