timestamp,agent,session_file,total_cost_usd,input_tokens,cache_creation_tokens,cache_read_tokens,output_tokens,is_error,models_used,model_costs_json
2026-03-16T08:00:11,max,session_20260316_080011.jsonl,0.5458066499999998,55,48312,443968,2112,False,claude-opus-4-5-20251101;claude-haiku-4-5-20251001;claude-sonnet-4-5-20250929,"{""claude-opus-4-5-20251101"":{""cost"":0.13814875000000001,""in"":6,""out"":177,""cache_read"":0,""cache_create"":21391},""claude-haiku-4-5-20251001"":{""cost"":0.06145250000000001,""in"":39615,""out"":830,""cache_read"":0,""cache_create"":14150},""claude-sonnet-4-5-20250929"":{""cost"":0.3462054,""in"":55,""out"":2112,""cache_read"":443968,""cache_create"":48312}}"
2026-03-16T18:00:11,max,session_20260316_180011.jsonl,0.7039091500000001,992,49514,373629,2288,False,claude-sonnet-4-5-20250929;claude-haiku-4-5-20251001;claude-opus-4-5-20251101,"{""claude-sonnet-4-5-20250929"":{""cost"":0.5011289,""in"":1012,""out"":3710,""cache_read"":378143,""cache_create"":82400},""claude-haiku-4-5-20251001"":{""cost"":0.06095649999999998,""in"":39349,""out"":784,""cache_read"":0,""cache_create"":14150},""claude-opus-4-5-20251101"":{""cost"":0.14182375,""in"":6,""out"":324,""cache_read"":0,""cache_create"":21391}}"
2026-03-16T00:00:11,beth,session_20260316_000011.jsonl,0.6652583999999998,46,53861,617983,3603,False,claude-opus-4-5-20251101;claude-haiku-4-5-20251001;claude-sonnet-4-5-20250929,"{""claude-opus-4-5-20251101"":{""cost"":0.14422374999999998,""in"":6,""out"":377,""cache_read"":0,""cache_create"":21563},""claude-haiku-4-5-20251001"":{""cost"":0.07947800000000001,""in"":56243,""out"":1088,""cache_read"":0,""cache_create"":14236},""claude-sonnet-4-5-20250929"":{""cost"":0.4415566499999999,""in"":46,""out"":3603,""cache_read"":617983,""cache_create"":53861}}"
2026-03-16T10:00:10,beth,session_20260316_100010.jsonl,0.5308623499999999,54,36392,499522,2310,False,claude-haiku-4-5-20251001;claude-sonnet-4-5-20250929;claude-opus-4-5-20251101,"{""claude-haiku-4-5-20251001"":{""cost"":0.0679,""in"":45890,""out"":843,""cache_read"":0,""cache_create"":14236},""claude-sonnet-4-5-20250929"":{""cost"":0.32113859999999994,""in"":54,""out"":2310,""cache_read"":499522,""cache_create"":36392},""claude-opus-4-5-20251101"":{""cost"":0.14182375,""in"":6,""out"":281,""cache_read"":0,""cache_create"":21563}}"
2026-03-16T20:00:10,beth,session_20260316_200010.jsonl,0.5580910999999998,50,48815,478207,2195,False,claude-sonnet-4-5-20250929;claude-haiku-4-5-20251001;claude-opus-4-5-20251101,"{""claude-sonnet-4-5-20250929"":{""cost"":0.35959335,""in"":50,""out"":2195,""cache_read"":478207,""cache_create"":48815},""claude-haiku-4-5-20251001"":{""cost"":0.05999900000000001,""in"":38769,""out"":687,""cache_read"":0,""cache_create"":14236},""claude-opus-4-5-20251101"":{""cost"":0.13849875,""in"":6,""out"":148,""cache_read"":0,""cache_create"":21563}}"
2026-03-16T02:00:10,susan,session_20260316_020010.jsonl,0.5071671499999999,47,48488,335168,1790,False,claude-haiku-4-5-20251001;claude-sonnet-4-5-20250929;claude-opus-4-5-20251101,"{""claude-haiku-4-5-20251001"":{""cost"":0.060022,""in"":38507,""out"":758,""cache_read"":0,""cache_create"":14180},""claude-sonnet-4-5-20250929"":{""cost"":0.3093714,""in"":47,""out"":1790,""cache_read"":335168,""cache_create"":48488},""claude-opus-4-5-20251101"":{""cost"":0.13777374999999997,""in"":6,""out"":147,""cache_read"":0,""cache_create"":21451}}"
2026-03-16T12:00:16,susan,session_20260316_120016.jsonl,0.7031980999999997,2088,24180,497969,2955,False,claude-opus-4-5-20251101;claude-haiku-4-5-20251001;claude-sonnet-4-5-20250929,"{""claude-opus-4-5-20251101"":{""cost"":0.13509875,""in"":6,""out"":40,""cache_read"":0,""cache_create"":21451},""claude-haiku-4-5-20251001"":{""cost"":0.043671000000000015,""in"":22336,""out"":722,""cache_read"":0,""cache_create"":14180},""claude-sonnet-4-5-20250929"":{""cost"":0.52442835,""in"":2118,""out"":4978,""cache_read"":504752,""cache_create"":69861}}"
2026-03-16T22:00:11,susan,session_20260316_220011.jsonl,0.8082392499999999,47,55358,411958,2544,False,claude-opus-4-5-20251101;claude-sonnet-4-5-20250929;claude-haiku-4-5-20251001,"{""claude-opus-4-5-20251101"":{""cost"":0.13692375,""in"":6,""out"":113,""cache_read"":0,""cache_create"":21451},""claude-sonnet-4-5-20250929"":{""cost"":0.6042224999999999,""in"":77,""out"":4064,""cache_read"":418730,""cache_create"":103310},""claude-haiku-4-5-20251001"":{""cost"":0.067093,""in"":43973,""out"":1079,""cache_read"":0,""cache_create"":14180}}"
2026-03-16T00:20:10,debater,session_20260316_002010.jsonl,0.459864,38,45090,235625,1665,False,claude-opus-4-5-20251101;claude-haiku-4-5-20251001;claude-sonnet-4-5-20250929,"{""claude-opus-4-5-20251101"":{""cost"":0.13706125,""in"":6,""out"":149,""cache_read"":0,""cache_create"":21329},""claude-haiku-4-5-20251001"":{""cost"":0.057938750000000004,""in"":36140,""out"":830,""cache_read"":0,""cache_create"":14119},""claude-sonnet-4-5-20250929"":{""cost"":0.26486400000000004,""in"":38,""out"":1665,""cache_read"":235625,""cache_create"":45090}}"
2026-03-16T03:20:11,debater,session_20260316_032011.jsonl,0.4931304999999999,47,45698,322000,1862,False,claude-opus-4-5-20251101;claude-haiku-4-5-20251001;claude-sonnet-4-5-20250929,"{""claude-opus-4-5-20251101"":{""cost"":0.13581125,""in"":6,""out"":99,""cache_read"":0,""cache_create"":21329},""claude-haiku-4-5-20251001"":{""cost"":0.06128075,""in"":39737,""out"":779,""cache_read"":0,""cache_create"":14119},""claude-sonnet-4-5-20250929"":{""cost"":0.29603850000000004,""in"":47,""out"":1862,""cache_read"":322000,""cache_create"":45698}}"
